CustomerID,CreditScore,Country,Gender,Age,TenureYears,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Churn
CUST20047,703,Germany,Male,25,0,29170.75,3,0,0,89764.92,0
CUST20048,722,Germany,Male,44,2,23706.7,3,1,1,91010.6,0
CUST20049,719,Germany,Male,52,8,0.0,2,0,0,15000.0,0
CUST20050,573,Germany,Female,54,7,40393.16,2,1,0,44504.2,0
CUST20051,712,France,Male,23,9,20585.47,3,0,1,134317.85,1
CUST20052,771,Spain,Female,56,8,81492.14,3,0,1,15000.0,0
CUST20053,719,Germany,Male,19,9,31678.25,3,0,1,145434.67,0
CUST20054,653,Spain,Female,30,5,48622.5,3,0,1,107484.9,0
CUST20055,387,France,Female,34,10,50128.7,2,1,1,51361.54,0
CUST20056,568,Germany,Male,62,4,72350.91,1,1,1,47557.8,1
CUST20057,381,Germany,Female,27,9,45931.28,1,1,0,170317.99,0
CUST20058,401,Spain,Male,58,4,16601.77,3,0,1,148513.26,0
CUST20059,530,Germany,Male,69,4,79717.15,2,0,1,79625.17,0
CUST20060,582,France,Male,67,7,133711.58,1,0,1,91056.63,0
CUST20061,613,Germany,Female,33,4,82065.64,1,1,1,55921.84,0
CUST20062,800,Spain,Female,22,1,41459.88,1,1,1,91065.28,0
CUST20063,731,France,Male,29,9,68226.95,2,0,0,54674.33,0
CUST20064,561,Germany,Male,57,4,0.0,2,0,1,81465.56,0
CUST20065,517,France,Female,28,10,67332.85,2,1,1,166464.82,0
CUST20066,706,Spain,Female,51,4,52980.51,3,1,0,80697.37,0
CUST20067,487,France,Male,37,10,23659.68,2,0,1,37839.02,1
CUST20068,791,Germany,Male,57,6,33634.59,3,0,1,23513.26,0
CUST20069,740,Spain,Female,49,8,52437.1,3,1,1,90720.3,0
CUST20070,691,Spain,Female,48,8,129585.21,1,1,1,50759.72,0
CUST20071,474,France,Female,58,2,135063.32,1,1,0,96097.14,0
CUST20072,660,France,Male,67,8,23953.12,3,1,1,15000.0,0
CUST20073,760,France,Female,36,10,46505.74,2,1,1,116061.26,0
CUST20074,385,Germany,Male,45,7,47907.55,3,0,0,37292.58,0
CUST20075,438,Spain,Female,50,10,119525.0,2,1,1,87083.38,0
CUST20076,607,France,Female,60,9,83002.86,1,0,0,69776.36,0
CUST20077,529,France,Male,43,7,80103.44,3,0,1,162327.5,0
CUST20078,704,Germany,Male,37,5,104494.44,3,0,1,92717.01,1
CUST20079,550,Spain,Female,62,9,42197.26,2,1,1,172546.24,0
CUST20080,848,Germany,Male,67,2,150013.76,2,0,1,110233.41,0
CUST20081,499,Germany,Female,47,6,74904.04,1,0,0,149143.27,1
CUST20082,530,Spain,Male,23,8,27924.82,3,1,0,75604.08,0
CUST20083,351,Spain,Male,33,10,62369.79,2,0,1,100547.64,0
CUST20084,473,Germany,Female,42,2,142756.06,3,1,0,139838.96,0
CUST20085,467,Germany,Female,54,1,51617.18,1,1,1,125723.2,0
CUST20086,731,Germany,Male,52,3,127225.68,3,1,0,108894.7,0
CUST20087,518,France,Male,60,9,40605.98,3,1,1,70242.93,0
CUST20088,451,Germany,Female,19,5,32888.5,3,1,1,77855.06,0
CUST20089,506,Spain,Male,42,0,111277.86,2,1,0,136194.79,0
CUST20090,631,France,Male,54,1,26931.51,3,1,0,145566.01,0
CUST20091,742,Spain,Female,69,3,120239.71,2,0,0,58321.18,1
CUST20092,839,Germany,Female,25,3,94339.43,3,0,1,51530.85,0
CUST20093,373,Germany,Male,63,1,26952.33,3,1,0,44313.98,0
CUST20094,770,France,Male,18,5,71070.65,3,0,1,122336.53,0
CUST20095,544,Spain,Male,28,5,44817.41,3,0,0,43173.62,0
CUST20096,754,France,Female,62,2,94193.71,1,0,1,121792.15,0
CUST20097,368,Germany,Male,58,2,178828.9,3,1,1,109556.07,0
CUST20098,663,France,Female,68,7,54611.25,3,1,0,60470.87,0
CUST20099,815,Spain,Female,49,10,104357.7,2,1,0,155373.67,1
CUST20100,369,France,Male,50,10,76344.24,2,1,0,19198.35,0
CUST20101,745,Spain,Female,45,6,76323.17,3,1,1,159678.97,0
CUST20102,407,Germany,Male,44,0,65913.72,2,1,1,99349.86,0
CUST20103,841,France,Male,44,9,27842.04,2,1,1,15000.0,0
CUST20104,722,Spain,Female,33,10,93432.7,3,1,1,156634.58,0
CUST20105,805,Spain,Female,62,3,59119.2,3,1,1,128749.56,0
CUST20106,798,France,Female,36,4,25236.0,1,0,0,65730.47,0
CUST20107,507,Spain,Female,49,0,130779.53,3,0,0,41587.57,0
CUST20108,557,Spain,Male,52,8,80445.53,1,0,1,15000.0,0
CUST20109,695,Spain,Female,45,8,62454.56,1,1,1,193695.08,0
CUST20110,437,Germany,Female,49,0,148703.11,3,1,1,43447.82,1
CUST20111,503,France,Female,20,7,0.0,1,1,1,28138.51,0
CUST20112,399,Germany,Male,34,4,145005.14,1,1,0,97056.36,1
CUST20113,794,Spain,Female,41,6,26589.66,1,0,1,15000.0,0
CUST20114,473,Germany,Male,38,2,86634.29,2,0,1,40830.32,0
CUST20115,555,Germany,Male,65,8,42656.49,1,0,0,129773.61,0
CUST20116,576,Spain,Male,64,4,24234.94,1,1,0,105889.48,0
CUST20117,537,Germany,Male,55,9,147263.76,2,0,1,67613.35,0
CUST20118,738,France,Male,36,1,177091.91,1,0,0,85823.8,0
CUST20119,807,Spain,Female,20,6,62832.59,1,1,0,65088.83,1
CUST20120,636,Germany,Female,57,3,93451.11,3,0,0,82210.1,0
CUST20121,768,Germany,Male,63,10,78134.52,2,1,1,50718.49,0
CUST20122,405,Germany,Female,43,6,170177.88,1,1,0,58889.23,0
CUST20123,833,Spain,Male,60,7,0.0,1,1,0,57519.48,0
CUST20124,407,Spain,Male,66,0,95741.79,3,0,0,52336.26,0
CUST20125,383,Spain,Male,46,7,35008.05,1,0,0,131975.99,0
CUST20126,361,Spain,Female,28,1,0.0,1,0,0,119655.28,0
CUST20127,471,France,Male,19,3,55170.84,2,0,1,43043.65,0
CUST20128,768,Spain,Male,57,2,176642.68,3,1,0,31252.28,0
CUST20129,500,Spain,Female,47,0,38917.29,2,1,0,77922.55,0
CUST20130,745,France,Female,25,6,118492.1,3,0,1,181987.94,0
CUST20131,562,Germany,Male,20,2,140926.97,2,0,1,38753.27,0
CUST20132,401,Spain,Male,68,5,74301.68,1,0,1,77744.9,1
CUST20133,586,Germany,Female,34,8,81625.06,3,0,1,88992.42,0
CUST20134,466,Spain,Male,35,1,0.0,3,1,0,80111.1,0
CUST20135,495,Germany,Female,50,7,35610.99,3,0,0,64380.56,0
CUST20136,608,France,Female,36,3,124885.42,1,0,0,136978.6,0
CUST20137,745,France,Male,65,3,78337.35,2,0,0,105450.64,0
CUST20138,643,Spain,Female,53,6,95203.78,2,1,1,123061.24,0
CUST20139,461,Spain,Male,36,6,82323.67,1,0,0,111522.1,1
CUST20140,708,Germany,Female,31,7,195560.22,3,0,1,125227.67,0
CUST20141,698,Germany,Male,62,2,51321.41,1,1,1,156298.26,0
CUST20142,468,Germany,Male,48,6,163297.55,1,1,1,144896.98,0
CUST20143,775,Spain,Female,65,2,82342.68,3,0,1,189616.18,0
CUST20144,771,Spain,Male,35,3,168180.94,2,1,1,139780.36,0
CUST20145,651,Spain,Male,19,10,7626.21,3,0,0,54874.9,0
CUST20146,498,Spain,Female,64,1,85155.87,2,0,1,123129.04,0
CUST20147,527,Spain,Female,30,4,53347.23,3,1,1,116969.58,0
CUST20148,569,Germany,Male,61,4,82670.98,1,0,1,171413.27,0
CUST20149,443,France,Male,54,2,142230.69,3,1,0,41477.87,0
CUST20150,502,Germany,Female,30,8,95834.53,1,0,1,110107.8,0
CUST20151,417,Spain,Male,57,5,142121.05,1,1,1,54351.83,0
CUST20152,427,Germany,Female,22,7,38137.84,2,0,0,108064.53,1
CUST20153,722,France,Male,38,4,29744.1,2,1,1,75336.4,0
CUST20154,414,Spain,Female,36,9,75885.78,1,1,0,106576.1,0
CUST20155,584,Spain,Male,52,8,72874.13,3,1,0,21534.78,0
CUST20156,564,Germany,Female,45,3,64777.73,1,0,1,120695.19,1
CUST20157,373,Germany,Male,49,10,22275.26,3,1,1,94272.68,0
CUST20158,765,France,Male,42,9,140925.84,1,0,0,91848.68,0
CUST20159,841,Spain,Female,56,6,55043.95,1,1,0,172760.27,0
CUST20160,669,France,Female,26,0,153434.3,1,1,0,67788.25,1
CUST20161,685,Germany,Male,55,6,75700.89,2,0,1,100401.94,0
CUST20162,466,Germany,Male,20,7,110663.59,2,0,0,89512.18,0
CUST20163,772,France,Female,22,4,105674.03,1,1,1,93911.76,0
CUST20164,742,Germany,Female,55,1,29664.89,2,1,0,184981.18,0
CUST20165,569,Spain,Female,26,6,95196.16,3,0,1,87871.32,0
CUST20166,702,Spain,Male,58,8,181058.31,1,0,0,59472.41,0
CUST20167,827,Germany,Female,24,3,88838.67,1,0,0,169190.63,0
CUST20168,651,France,Male,25,5,124570.22,2,1,0,71154.01,0
CUST20169,449,Spain,Female,66,0,113129.95,3,0,1,15000.0,0
CUST20170,515,France,Male,27,7,91887.73,1,1,1,51662.03,0
CUST20171,442,Spain,Male,65,9,85256.33,1,0,0,28903.56,0
CUST20172,515,Germany,Male,36,8,105102.36,1,1,0,15000.0,0
CUST20173,795,Germany,Female,59,4,116980.54,2,0,1,68664.32,0
CUST20174,444,Germany,Female,66,0,630.98,1,0,0,81840.28,0
CUST20175,795,Germany,Male,24,5,88601.66,2,1,0,138123.76,0
CUST20176,492,France,Male,35,10,64875.72,2,1,0,113323.07,1
CUST20177,599,Germany,Female,47,0,53466.02,1,0,1,111272.54,1
CUST20178,614,Germany,Male,63,2,146278.04,3,0,0,44805.55,0
CUST20179,412,Spain,Male,27,9,34676.96,3,0,0,124822.0,0
CUST20180,442,Germany,Male,27,6,0.0,3,1,0,147605.48,1
CUST20181,502,Spain,Female,37,1,118764.39,3,0,1,102755.69,0
CUST20182,379,France,Female,28,0,0.0,1,1,1,104013.29,0
CUST20183,727,France,Female,31,4,0.0,3,0,1,28088.85,0
CUST20184,623,France,Female,24,6,124954.72,1,1,0,132449.61,0
CUST20185,772,Spain,Female,61,9,83729.72,1,1,0,165137.37,0
CUST20186,781,France,Female,59,9,100999.58,2,0,0,99532.86,1
CUST20187,523,France,Male,25,5,50666.48,3,0,1,58253.92,0
CUST20188,758,Spain,Male,45,4,0.0,2,1,0,77710.23,0
CUST20189,380,Germany,Female,51,10,9781.7,2,0,1,66081.07,0
CUST20190,564,Germany,Female,50,8,60029.61,2,0,0,68779.77,0
CUST20191,682,Spain,Female,69,2,5017.84,2,0,0,114159.24,0
CUST20192,583,Spain,Male,51,7,91887.91,2,0,0,97575.89,1
CUST20193,719,Spain,Male,53,7,49564.81,2,0,1,130177.15,0
CUST20194,779,Germany,Male,19,2,85176.98,2,0,1,101690.61,0
CUST20195,562,Germany,Male,22,10,83533.15,2,0,1,46116.04,0
CUST20196,487,France,Female,50,3,96273.98,1,0,0,62468.86,0
CUST20197,641,Germany,Male,65,6,102471.54,1,0,1,59672.15,0
CUST20198,784,Spain,Male,38,5,56085.47,1,0,1,76608.85,0
CUST20199,843,France,Male,51,7,85118.31,2,1,0,165762.12,0
CUST20200,757,Spain,Male,28,9,87980.45,1,0,1,172970.48,0
CUST20201,472,France,Female,41,4,0.0,1,1,1,122647.05,0
CUST20202,452,France,Female,57,4,110558.92,3,1,0,90344.37,0
CUST20203,636,Germany,Male,52,8,83246.82,1,1,0,23725.65,1
CUST20204,551,France,Female,23,10,106022.69,3,1,0,94900.37,1
CUST20205,655,Spain,Female,63,9,4223.6,1,0,1,49449.67,0
CUST20206,811,Germany,Female,66,8,57632.48,3,1,0,158373.49,1
CUST20207,624,Germany,Female,42,7,14965.88,1,0,0,15000.0,0
CUST20208,527,Germany,Female,35,8,115953.08,2,0,1,102301.79,0
CUST20209,784,France,Female,45,10,0.0,3,1,0,45659.23,0
CUST20210,569,Spain,Male,59,0,23923.99,1,0,0,84571.82,0
CUST20211,652,Spain,Female,41,6,104387.28,2,0,0,114973.07,0
CUST20212,417,France,Female,19,0,40384.4,3,1,1,130988.59,0
CUST20213,603,France,Female,21,6,23938.51,1,1,0,82268.94,0
CUST20214,563,France,Male,60,4,124869.57,1,1,0,119254.74,0
CUST20215,411,France,Female,58,3,127124.15,3,1,1,55188.85,0
CUST20216,455,Germany,Female,58,9,114713.92,1,1,0,96049.23,0
CUST20217,701,Spain,Male,24,7,121679.03,3,0,1,130099.33,1
CUST20218,440,Germany,Female,26,6,62263.14,3,0,0,99944.48,0
CUST20219,416,France,Female,38,9,63747.39,3,0,1,61179.53,0
CUST20220,378,France,Female,30,1,39355.53,3,0,1,72443.09,0
CUST20221,363,Germany,Female,38,7,84225.1,3,1,1,130704.52,0
CUST20222,567,France,Female,47,1,45965.59,2,1,0,35866.99,0
CUST20223,594,Germany,Male,32,2,51181.36,3,1,0,42505.82,0
CUST20224,662,France,Female,24,2,107994.52,2,1,1,112071.49,0
CUST20225,636,France,Female,38,5,140149.66,2,1,0,65238.54,0
CUST20226,618,Germany,Male,55,6,96904.31,1,0,0,19612.38,0
CUST20227,849,France,Female,50,8,173687.37,3,0,1,145786.84,0
CUST20228,474,Germany,Male,34,4,36196.64,2,0,1,35517.99,0
CUST20229,706,France,Male,34,10,0.0,3,1,1,76025.65,0
CUST20230,389,France,Female,48,4,114304.53,2,1,1,57121.57,0
CUST20231,774,Germany,Female,26,1,32549.15,1,0,1,71604.24,0
CUST20232,531,France,Male,61,0,59946.93,2,0,0,45192.12,0
CUST20233,523,Spain,Female,63,1,0.0,3,0,0,117142.57,0
CUST20234,417,Spain,Male,19,4,25543.44,2,0,1,89987.06,0
CUST20235,604,Germany,Male,68,4,0.0,3,1,1,129264.41,0
CUST20236,549,France,Female,19,9,51113.32,1,1,0,57587.43,0
CUST20237,837,Germany,Male,41,1,53299.67,3,1,0,180985.98,0
CUST20238,439,Germany,Female,52,2,79947.82,3,0,0,15000.0,0
CUST20239,558,Germany,Male,35,10,143184.76,3,0,1,15000.0,0
CUST20240,800,Spain,Male,28,0,112229.84,1,1,1,163888.82,0
CUST20241,753,Spain,Female,20,4,0.0,2,0,0,106331.88,0
CUST20242,732,Germany,Male,55,2,108440.85,1,0,0,100362.37,0
CUST20243,612,France,Male,19,5,81146.51,2,0,1,104407.39,0
CUST20244,786,France,Male,43,10,69619.55,3,0,0,110704.33,0
CUST20245,461,Spain,Female,38,2,73751.53,2,0,0,98489.55,0
CUST20246,754,Germany,Male,68,4,86250.38,3,0,0,41534.3,0
CUST20247,640,France,Female,66,4,36946.23,3,0,1,121818.59,0
CUST20248,524,Germany,Male,60,8,64970.7,3,1,1,114730.52,0
CUST20249,459,Spain,Female,55,10,140116.65,3,1,0,149279.4,0
CUST20250,610,Germany,Female,46,1,36285.18,2,1,0,164390.85,0
CUST20251,351,France,Male,36,5,18356.16,3,0,1,99871.42,0
CUST20252,707,Spain,Female,26,8,71606.1,1,1,1,29760.29,1
CUST20253,467,France,Male,68,0,12818.84,3,1,0,164763.53,0
CUST20254,544,Spain,Female,38,8,0.0,2,0,0,39183.25,0
CUST20255,446,Germany,Male,40,2,56054.31,3,0,1,100208.39,0
CUST20256,582,France,Female,25,5,154674.2,2,1,0,73446.97,0
CUST20257,535,France,Male,32,10,72876.77,1,0,0,65621.86,0
CUST20258,443,Spain,Female,50,6,84821.74,3,0,1,119393.51,0
CUST20259,794,Spain,Male,40,10,0.0,3,0,0,96000.68,1
CUST20260,729,France,Male,48,6,99096.9,1,0,0,108095.87,0
CUST20261,543,Germany,Male,29,2,80135.12,1,0,1,48294.12,0
CUST20262,378,Spain,Female,22,7,38429.68,2,0,0,77166.63,1
CUST20263,772,Spain,Male,64,6,84902.78,2,1,0,50370.93,1
CUST20264,698,Spain,Female,40,3,84356.69,2,0,1,76041.78,0
CUST20265,627,France,Female,36,0,16728.16,1,1,0,79655.7,0
CUST20266,652,Germany,Male,32,7,93251.95,2,0,1,167993.69,0
CUST20267,353,Spain,Male,52,6,140842.45,2,1,1,73327.52,0
CUST20268,586,France,Male,47,8,62463.22,3,1,1,15000.0,0
CUST20269,444,France,Male,38,1,27282.32,2,0,1,147779.12,0
CUST20270,675,Spain,Female,66,5,65233.1,2,0,0,105216.67,0
CUST20271,815,Spain,Female,64,9,122003.73,1,1,1,79104.53,0
CUST20272,615,France,Female,28,9,7552.46,2,0,0,65325.31,1
CUST20273,652,Spain,Female,51,10,106820.7,2,1,0,42388.35,0
CUST20274,683,Germany,Female,68,2,37709.2,1,0,0,172212.16,0
CUST20275,814,Germany,Female,43,1,88313.47,3,0,1,87333.02,0
CUST20276,369,Germany,Male,19,6,43961.78,3,0,1,15000.0,0
CUST20277,505,Spain,Female,24,5,43814.07,1,1,1,99748.3,0
CUST20278,484,Germany,Female,52,2,158770.22,2,0,1,139277.73,0
CUST20279,708,Germany,Male,64,1,0.0,3,1,0,92039.56,0
CUST20280,573,Spain,Female,24,1,101695.14,1,0,1,44428.29,0
CUST20281,736,Germany,Female,46,3,170222.84,1,1,1,40401.66,0
CUST20282,586,Spain,Male,43,8,112703.71,2,1,0,43720.65,0
CUST20283,837,France,Female,32,0,1789.66,1,1,0,153474.61,1
CUST20284,733,Spain,Female,50,1,4513.07,2,0,0,81775.12,0
CUST20285,359,Spain,Female,63,2,33660.6,1,1,1,15000.0,0
CUST20286,844,Spain,Female,30,9,83684.94,3,1,0,102286.03,0
CUST20287,826,Germany,Female,20,10,87426.85,2,0,1,91346.66,0
CUST20288,371,Germany,Male,36,4,5056.69,1,0,1,64799.7,0
CUST20289,545,France,Male,34,0,26998.34,3,1,0,39081.7,0
CUST20290,835,Spain,Female,55,0,30368.46,1,0,0,37124.73,0
CUST20291,768,Spain,Male,45,9,65058.93,2,1,0,133898.52,0
CUST20292,584,France,Female,18,4,184158.25,3,0,0,96138.08,0
CUST20293,622,France,Female,35,0,23674.71,3,0,0,106538.96,1
CUST20294,364,Spain,Male,56,9,21267.32,1,1,1,96014.15,0
CUST20295,632,Spain,Female,42,5,12677.28,2,1,0,99745.99,0
CUST20296,683,Germany,Male,47,3,109954.95,3,0,1,63922.24,0
CUST20297,529,France,Male,31,4,72726.21,3,1,1,75737.68,0
CUST20298,503,Spain,Male,34,2,25707.54,1,0,1,137421.03,0
CUST20299,764,Germany,Male,24,10,55046.24,3,0,1,148656.56,0
CUST20300,574,Spain,Female,22,8,31466.93,1,1,0,30005.86,1
CUST20301,482,Spain,Male,19,2,91274.02,2,1,1,75628.35,0
CUST20302,537,Germany,Male,50,8,222640.71,1,0,1,122767.84,0
CUST20303,596,France,Male,26,1,105297.54,1,1,0,169693.59,1
CUST20304,479,Spain,Male,47,4,69885.63,1,0,0,165188.18,0
CUST20305,630,Spain,Male,67,8,38426.35,1,1,1,49190.9,0
CUST20306,780,Spain,Female,54,0,1113.0,3,1,1,142377.08,1
CUST20307,721,Germany,Female,47,7,115352.94,2,1,0,87638.63,0
CUST20308,465,Spain,Male,24,2,112364.48,2,0,1,131998.75,0
CUST20309,585,Spain,Male,43,7,49364.45,2,0,0,120472.54,0
CUST20310,621,France,Male,64,5,141733.37,2,0,1,28121.62,0
CUST20311,690,France,Male,37,0,76160.88,1,1,1,109748.83,0
CUST20312,728,France,Female,60,8,117611.84,1,1,0,130256.35,0
CUST20313,592,Spain,Male,54,2,91290.84,3,1,1,84093.01,0
CUST20314,507,France,Male,31,10,65257.53,1,0,0,73915.76,0
CUST20315,679,Germany,Female,25,9,22481.35,3,1,1,15000.0,0
CUST20316,412,Spain,Male,18,2,66995.49,3,1,1,115762.79,0
CUST20317,687,Germany,Female,32,6,121312.79,1,0,1,94393.68,0
CUST20318,798,France,Female,35,3,47052.57,1,0,0,43501.72,0
CUST20319,704,Germany,Female,52,6,99185.78,1,0,0,70337.2,0
CUST20320,566,France,Male,47,6,15449.53,2,0,1,91952.65,0
CUST20321,761,Germany,Female,42,3,117903.21,1,1,1,59861.39,0
CUST20322,616,Spain,Female,55,7,92211.77,3,1,0,85120.47,0
CUST20323,620,Germany,Female,58,2,8883.91,2,0,1,15000.0,0
CUST20324,776,Spain,Male,55,9,62679.2,3,1,1,145723.98,0
CUST20325,446,France,Female,64,10,126229.25,3,0,1,85715.92,1
CUST20326,739,Spain,Female,36,1,5753.21,2,1,0,35529.09,0
CUST20327,689,Germany,Female,60,8,16097.74,2,1,0,15000.0,0
CUST20328,614,France,Female,39,10,71177.67,1,1,0,131311.07,1
CUST20329,388,Germany,Male,27,1,192333.19,1,1,0,110114.12,0
CUST20330,732,France,Female,25,8,38008.21,2,1,0,94480.86,0
CUST20331,459,Germany,Female,22,10,102240.07,2,1,0,123864.16,0
CUST20332,797,Germany,Female,67,2,89307.45,2,0,0,123740.43,0
CUST20333,746,France,Male,26,6,42576.41,1,1,0,93749.71,0
CUST20334,531,Spain,Female,61,8,83862.33,3,1,1,73560.36,0
CUST20335,567,Germany,Female,58,3,50369.09,2,1,0,66228.63,0
CUST20336,362,France,Female,40,2,55320.74,2,0,0,103942.39,0
CUST20337,599,Germany,Male,65,4,0.0,2,0,1,147866.41,0
CUST20338,378,Spain,Female,65,3,73656.01,2,1,1,80369.36,0
CUST20339,843,Spain,Male,66,7,124450.14,2,1,1,151441.48,0
CUST20340,670,Germany,Female,43,4,78158.42,3,1,0,101791.86,0
CUST20341,467,Spain,Male,33,4,134977.93,2,1,0,102131.09,0
CUST20342,751,France,Male,20,10,106918.01,1,1,1,193229.93,0
CUST20343,359,Germany,Female,61,6,71725.23,3,1,1,159370.52,0
CUST20344,624,France,Female,63,10,40464.09,1,1,0,160537.42,0
CUST20345,405,Spain,Female,45,7,48255.5,1,0,1,49107.39,0
CUST20346,377,Spain,Male,21,9,0.0,1,1,1,183648.21,0
CUST20347,472,France,Male,60,2,60310.66,3,0,1,81300.24,0
CUST20348,497,France,Female,33,10,83029.93,2,1,1,74762.9,0
CUST20349,712,Spain,Female,46,10,169348.16,1,1,1,15000.0,0
CUST20350,795,Germany,Female,52,0,104057.62,3,1,0,99683.09,0
CUST20351,737,France,Male,25,3,27433.03,1,1,1,36249.07,0
CUST20352,719,France,Female,21,4,0.0,3,0,1,103371.42,0
CUST20353,632,Germany,Female,22,4,63639.64,3,1,0,32729.57,0
CUST20354,535,France,Male,67,8,119647.04,1,1,0,165896.49,0
CUST20355,477,France,Male,67,7,62866.1,3,1,0,109820.83,1
CUST20356,822,France,Male,40,2,104809.13,2,0,0,187594.22,0
CUST20357,610,France,Male,40,6,65038.1,1,1,1,38963.92,0
CUST20358,632,Spain,Female,39,10,114435.02,2,0,0,154713.07,0
CUST20359,357,Spain,Female,36,4,0.0,2,0,1,15000.0,0
CUST20360,578,Spain,Male,46,10,163230.02,1,1,1,94363.4,0
CUST20361,690,France,Female,36,7,13813.41,3,1,1,56576.96,0
CUST20362,597,France,Female,50,10,118655.28,1,1,1,64841.96,0
CUST20363,657,France,Female,37,9,60029.88,3,1,1,61757.66,0
CUST20364,754,Germany,Male,50,0,68629.47,3,1,1,43837.77,0
CUST20365,360,France,Female,67,8,61739.4,2,0,0,28314.03,0
CUST20366,802,France,Female,28,2,89058.25,1,0,1,65090.79,0
CUST20367,758,Spain,Female,21,9,100163.85,1,0,0,90221.28,0
CUST20368,559,Germany,Female,45,8,133209.88,1,1,0,137366.25,1
CUST20369,731,Spain,Male,24,2,152437.19,2,1,1,98290.77,0
CUST20370,383,France,Female,30,0,93250.19,3,1,0,137494.31,0
CUST20371,504,Spain,Male,59,4,169252.08,1,1,0,18482.04,0
CUST20372,403,Spain,Female,39,3,80113.49,3,1,1,65516.38,0
CUST20373,667,Spain,Female,46,6,134259.22,1,0,1,116995.22,0
CUST20374,778,Germany,Female,58,0,98579.58,1,0,1,100443.58,0
CUST20375,650,Spain,Male,24,0,44793.75,2,0,1,46247.12,0
CUST20376,705,Germany,Male,42,4,84967.88,3,0,1,127033.1,0
CUST20377,421,Germany,Female,19,8,102674.45,3,0,1,61092.71,0
CUST20378,817,France,Male,43,3,73229.1,2,1,1,50018.64,0
CUST20379,446,France,Male,29,3,97707.11,1,1,0,106912.65,0
CUST20380,613,Spain,Male,65,1,122594.96,1,0,1,85277.62,1
